OLL Course,edX Subject 1,edX Subject 2,edX Subject 3,MITxO Primary Parent,MITxO Primary Child,MITxO Adopted Secondary Child ,OCW Pointer Page Topic 1,OCW Pointer Page Topic 2,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,,Level,Offered by,Language,readable_id,title,url,description,published,License CC,Duration,Student Effort,Course Image URL,Course Image URL Flat
15.053x,Math,,,Science & Math,Mathematics,Operations,,,James Orlin,Khizar Qureshi,,,,,,Undergraduate,MITx,English,MITx+15.053x+3T2016,Optimization Methods in Business Analytics,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+15.053x+3T2016/about,Learn how to use optimization methodologies and modeling approaches to effectively analyze data.,YES,,6.4,10,https://openlearninglibrary.mit.edu/asset-v1:MITx+15.053x+3T2016+type@asset+block@15.053xCourseImage_copy.png,https://openlearninglibrary.mit.edu/asset-v1:MITx+15.053x+3T2016+type@asset+block@15.053xCourseImage_copy.png
15.480x,Biology & Life Sciences,Business & Management,Economics & Finance,Science & Math,Biology,Finance & Accounting,,,Andrew W. Lo,Harvey F. Lodish,Zied Ben Chaouch,,,,,Undergraduate,MITx,English,MITx+15.480x+3T2021,The Science and Business of Biotechnology,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+15.480x+3T2021/about,"This course focuses on early-stage biotechnology companies, with particular emphasis on understanding the underlying science, technology, and disease targets'together with the application of novel business structures and financing methods'to facilitate drug discovery, clinical development, and greater patient access to new but potentially high-cost therapies.",YES,,50.1,6,https://openlearninglibrary.mit.edu/asset-v1:MITx+15.480x+3T2021+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+15.480x+3T2021+type@asset+block@course_image.jpg
15.481x,Economics & Finance,Health & Safety,,Business & Management,Organizations & Leadership,Finance & Accounting,,,Andrew W. Lo,Zied Ben Chaouch,,,,,,Graduate,MITx,English,MITx+15.481x+1T2021,Adaptive Markets: Financial Market Dynamics and Human Behavior,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+15.481x+1T2021/about,"A completely new way of thinking about financial markets, institutions, and innovation that reconciles human behavior with market efficiency using concepts from evolutionary biology, cognitive neuroscience, and artificial intelligence.",YES,,52.3,8,https://openlearninglibrary.mit.edu/asset-v1:MITx+15.481x+1T2021+type@asset+block@course_image.png,https://openlearninglibrary.mit.edu/asset-v1:MITx+15.481x+1T2021+type@asset+block@course_image.png
15.482x,Biology & Life Sciences,Business & Management,Economics & Finance,Science & Math,Biology,Finance & Accounting,,,Andrew W. Lo,Shomesh Chaudhuri,Zied Ben Chaouch,,,,,Undergraduate,MITx,English,MITx+15.482x+1T2019,Healthcare Finance,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+15.482x+1T2019/about,"This course covers the role of finance in the healthcare industry, with particular emphasis on the application of novel financing methods to facilitate drug discovery, clinical development, and greater patient access to high-cost therapies.",YES,,13,6,https://openlearninglibrary.mit.edu/asset-v1:MITx+15.482x+1T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+15.482x+1T2019+type@asset+block@course_image.jpg
16.00x,Engineering,,,Engineering ,Aerospace Engineering,"Mechanical Engineering
",,,Jeffrey Hoffman,,,,,,,Undergraduate,MITx,English,MITx+16.00x+2T2019,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+16.00x+2T2019/about,"Spaceflight is exciting, and you don?t have to be a ?Rocket Scientist? to share in the excitement! 16.00x makes the basics of spaceflight accessible to everyone.",YES,,8,3,https://openlearninglibrary.mit.edu/asset-v1:MITx+16.00x+2T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+16.00x+2T2019+type@asset+block@course_image.jpg
16.885x,Engineering,,,Engineering ,Aerospace Engineering,Systems Engineering,,,Jeffrey Hoffman,Aaron Cohen,,,,,,Graduate,MITx,English,MITx+16.885x+3T2019,Engineering the Space Shuttle,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+16.885x+3T2019/about,"This is a course about the Space Shuttle and about Systems Engineering, taught by the people who designed, built and operated the Shuttle, the world?s first reusable spacecraft, which for 30 years enabled human space flight in the United States.",YES,,12,5,https://openlearninglibrary.mit.edu/asset-v1:MITx+16.885x+3T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+16.885x+3T2019+type@asset+block@course_image.jpg
18.01.1x,Math,,,Science & Math,Mathematics,Algorithms and Data Structures,,,David Jerison,Gigliola Staffilani,Jennifer French Kamrin,Stephen Wang,,,,High School,MITx,English,MITx+18.01.1x+2T2019,Calculus 1A: Differentiation,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+18.01.1x+2T2019/about,"Discover the derivative---what it is, how to compute it, and when to apply it in solving real world problems. Part 1 of 3.",YES,,12,8,https://openlearninglibrary.mit.edu/asset-v1:MITx+18.01.1x+2T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+18.01.1x+2T2019+type@asset+block@course_image.jpg
18.01.2x,Math,,,Science & Math,Mathematics,Algorithms and Data Structures,,,David Jerison,Gigliola Staffilani,Jennifer French Kamrin,Karene Chu,,,,High School,MITx,English,MITx+18.01.2x+3T2019,Calculus 1B: Integration,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+18.01.2x+3T2019/about,Discover the integral - what it is and how to compute it. See how to use calculus to model real world phenomena. Part 2 of 3.,YES,,16,8,https://openlearninglibrary.mit.edu/asset-v1:MITx+18.01.2x+3T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+18.01.2x+3T2019+type@asset+block@course_image.jpg
18.01.3x,Math,,,Science & Math,Mathematics,Algorithms and Data Structures,,,David Jerison,Gigliola Staffilani,Jennifer French Kamrin,Karene Chu,,,,Undergraduate,MITx,English,MITx+18.01.3x+1T2020,Calculus 1C: Coordinate Systems & Infinite Series,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+18.01.3x+1T2020/about,Master the calculus of curves and coordinate systems; approximate functions with polynomials and infinite series. Part 3 of 3.,YES,,13,8,https://openlearninglibrary.mit.edu/asset-v1:MITx+18.01.3x+1T2020+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+18.01.3x+1T2020+type@asset+block@course_image.jpg
18.06SC,,,,Science & Math,Mathematics,Algorithms and Data Structures ,Science & Math,Mathematics,Gilbert Strang,,,,,,,Undergraduate,OCW,English,OCW+18.06SC+2T2019,Linear Algebra,https://openlearninglibrary.mit.edu/courses/course-v1:OCW+18.06SC+2T2019/about,"This course covers matrix theory and linear algebra, emphasizing topics useful in other disciplines such as physics, economics and social sciences, natural sciences, and engineering. It parallels the combination of theory and applications in Professor Strang's textbook Introduction to Linear Algebra.",YES,YES,13,,https://openlearninglibrary.mit.edu/asset-v1:OCW+18.06SC+2T2019+type@asset+block@LinearAlgebra18.06.jpg,https://openlearninglibrary.mit.edu/asset-v1:OCW+18.06SC+2T2019+type@asset+block@LinearAlgebra18.06.jpg
22.011x,Energy & Earth Sciences,Engineering,Science,Science & Math,Earth Science,Nuclear Engineering,,,Jacopo Buongiorno,Anne White,Michael Short,John Parsons,,,,Undergraduate,MITx,English,MITx+22.011x+3T2018,"Nuclear Energy: Science, Systems and Society",https://openlearninglibrary.mit.edu/courses/course-v1:MITx+22.011x+3T2018/about,"Learn how a nuclear reactor works, what the future of nuclear fusion looks like, and the numerous useful applications of nuclear radiation in four easy-to-follow modules, complemented with a chance to explore background radiation in your backyard.",YES,,9,10,https://openlearninglibrary.mit.edu/asset-v1:MITx+22.011x+3T2018+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+22.011x+3T2018+type@asset+block@course_image.jpg
24.02x,Philosophy & Ethics,,,Humanities,Philosophy,Cognitive Science,,,Caspar Hare,Tamar Schapiro,Kieran Setiya,Cosmo Grant,David Balcarras,,,High School,MITx,English,MITx+24.02x+2T2020,Introduction to Ethics: Moral Problems and the Good Life,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+24.02x+2T2020/about,"This course has two goals. The first goal is to introduce you to key questions in ethics.

• What makes your life go better or worse for you?
• Can ethics be objective?
• What are the main historical approaches in ethics?
• What do you owe to others

The second goal is to get you thinking rigorously about ethical questions yourself. This will help you develop your critical reasoning and argumentative skills more generally.",YES,,11.3,7,https://openlearninglibrary.mit.edu/asset-v1:MITx+24.02x+2T2020+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+24.02x+2T2020+type@asset+block@course_image.jpg
24.09x,Philosophy & Ethics,,,Humanities,Philosophy,Cognitive Science,,,Alex Byrne,Cosmo Grant,,,,,,Undergraduate,MITx,English,MITx+24.09x+3T2019,Minds and Machines,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+24.09x+3T2019/about,"An introduction to philosophy of mind, exploring consciousness, reality, AI, and more. The most in-depth philosophy course available online.",YES,,12.6,4,https://openlearninglibrary.mit.edu/asset-v1:MITx+24.09x+3T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+24.09x+3T2019+type@asset+block@course_image.jpg
24.118x,Philosophy & Ethics,,,Humanities,Philosophy,Cognitive Science,,,Agustín Rayo,David Balcarras,Cosmo Grant,,,,,Undergraduate,MITx,English,MITx+24.118x+2T2020,Paradox and Infinity,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+24.118x+2T2020/about,This is a class about awe-inspiring issues at the intersection between philosophy and mathematics.,YES,,11.1,5,https://openlearninglibrary.mit.edu/asset-v1:MITx+24.118x+2T2020+type@asset+block@course_image.png,https://openlearninglibrary.mit.edu/asset-v1:MITx+24.118x+2T2020+type@asset+block@course_image.png
3.012S.1x,Chemistry,Engineering,Science,Science & Math,Chemistry,Materials Science and Engineering,,,Silvija Gradečak,,,,,,,Undergraduate,MITx,English,MITx+3.012S.1x+1T2019,"Structure of Materials, Part 1: Fundamentals of Materials Structure",https://openlearninglibrary.mit.edu/courses/course-v1:MITx+3.012S.1x+1T2019/about,"Discover the structure of the materials that make up our modern world and learn how this underlying structure influences the properties, performance and applications of these materials.",YES,,6,7,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.012S.1x+1T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.012S.1x+1T2019+type@asset+block@course_image.jpg
3.012S.2x,Chemistry,Engineering,Science,Science & Math,Chemistry,Materials Science and Engineering,,,Silvija Gradečak,,,,,,,Undergraduate,MITx,English,MITx+3.012S.2x+1T2019,"Structure of Materials, Part 2: The Crystalline State",https://openlearninglibrary.mit.edu/courses/course-v1:MITx+3.012S.2x+1T2019/about,Discover the structure of the materials that make up our modern world and learn how this underlying structure influences the properties and performance of these materials.,YES,,5,9,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.012S.2x+1T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.012S.2x+1T2019+type@asset+block@course_image.jpg
3.012S.3x,Chemistry,Engineering,Science,Science & Math,Chemistry,Materials Science and Engineering,,,Silvija Gradečak,,,,,,,Undergraduate,MITx,English,MITx+3.012S.3x+1T2019,"Structure of Materials, Part 3: Liquid Crystals, Defects, and Diffusion",https://openlearninglibrary.mit.edu/courses/course-v1:MITx+3.012S.3x+1T2019/about,Discover the structure of the materials that make up our modern world and learn how this underlying structure influences the properties and performance of these materials.,YES,,6,7,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.012S.3x+1T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.012S.3x+1T2019+type@asset+block@course_image.jpg
3.15.1x,Engineering,,,Engineering,Materials Science and Engineering,Electrical Engineering,,,Caroline Ross,,,,,,,Undergraduate,MITx,English,MITX+3.15.1x+2T2017,Electronic Materials and Devices,https://openlearninglibrary.mit.edu/courses/course-v1:MITX+3.15.1x+2T2017/about,"Learn how magnetic devices, such as hard drives and magneto-optical disks, are designed to exploit the magnetic properties of materials.",YES,,5,10,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.15.2x+2T2017+type@asset+block@315Thumbnail.png,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.15.2x+2T2017+type@asset+block@315Thumbnail.png
3.15.2x,Engineering,,,Engineering,Materials Science and Engineering,Electrical Engineering,,,Caroline Ross,,,,,,,Undergraduate,MITx,English,MITx+3.15.2x+2T2017,Optical Materials and Devices,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+3.15.2x+2T2017/about,"Learn about the optical properties of materials, including how LEDs, lasers, and solar cell devices are designed.",YES,,6,10,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.15.2x+2T2017+type@asset+block@315Thumbnail.png,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.15.2x+2T2017+type@asset+block@315Thumbnail.png
3.15.3x,Engineering,,,Engineering,Materials Science and Engineering,Electrical Engineering,,,Caroline Ross,,,,,,,Undergraduate,MITx,English,MITx+3.15.3x+2T2017,Magnetic Materials and Devices,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+3.15.3x+2T2017/about,"Learn how electronic devices, such as diodes and transistors, are designed to exploit the electrical properties of materials.",YES,,5,10,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.15.3x+2T2017+type@asset+block@315Thumbnail.png,https://openlearninglibrary.mit.edu/asset-v1:MITx+3.15.3x+2T2017+type@asset+block@315Thumbnail.png
6.005.1x,Computer Science,,,"Data Science, Analytics & Computer Technology",Software Design and Engineering,Programming & Coding,,,Rob Miller,,,,,,,Undergraduate,MITx,English,MITx+6.005.1x+3T2016,Software Construction in Java,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+6.005.1x+3T2016/about,"Learn how to write programs that are safe from bugs, easy to understand, and ready for change.",YES,YES,12,15,https://openlearninglibrary.mit.edu/asset-v1:MITx+6.005.1x+3T2016+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+6.005.1x+3T2016+type@asset+block@course_image.jpg
6.005.2x,Computer Science,,,"Data Science, Analytics & Computer Technology",Software Design and Engineering,Programming & Coding,,,Rob Miller,,,,,,,Undergraduate,MITx,English,MITx+6.005.2x+1T2017,Advanced Software Construction in Java,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+6.005.2x+1T2017/about,"Learn how to write programs that are safe from bugs, easy to understand, and ready for change.",YES,YES,10,15,https://openlearninglibrary.mit.edu/asset-v1:MITx+6.005.2x+1T2017+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+6.005.2x+1T2017+type@asset+block@course_image.jpg
6.036x,Computer Science,,,"Data Science, Analytics & Computer Technology",Machine Learning,Algorithms and Data Structures ,,,Leslie Kaelbling,Tomás Lozano-Pérez,Isaac Chuang,Duane Boning,,,,Undergraduate,MITx,English,MITx+6.036+1T2019,Introduction to Machine Learning,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+6.036+1T2019/about,"Machine learning methods are commonly used across engineering and sciences, from computer systems to physics. Moreover, commercial sites such as search engines, recommender systems (e.g., Netflix, Amazon), advertisers, and financial institutions employ machine learning algorithms for content recommendation, predicting customer behavior, compliance, or risk. As a discipline, machine learning tries to design and understand computer programs that learn from experience for the purpose of prediction or control. In this course, you will learn about principles and algorithms for turning training data into effective automated predictions. We will cover concepts such as representation, over-fitting, regularization, and generalization; topics such as clustering, classification, recommender problems, probabilistic modeling, reinforcement learning; and methods such as on-line algorithms, support vector machines, neural networks/deep learning, hidden Markov models, and Bayesian networks.",YES,,6,11,https://openlearninglibrary.mit.edu/asset-v1:MITx+6.036+1T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+6.036+1T2019+type@asset+block@course_image.jpg
6.042J,,,,"Data Science, Analytics & Computer Technology",Computer Science,Mathematics,"Data Science, Analytics & Computer Technology",Computer,Albert Meyer,Adam Chlipala,,,,,,Undergraduate,OCW,English,OCW+6.042J+2T2019,Mathematics for Computer Science,https://openlearninglibrary.mit.edu/courses/course-v1:OCW+6.042J+2T2019/about,"This course covers elementary discrete mathematics for computer science and engineering. It emphasizes mathematical definitions and proofs as well as applicable methods. Topics include formal logic notation, proof methods; induction, well-ordering; sets, relations; elementary graph theory; integer congruences; asymptotic notation and growth of functions; permutations and combinations, counting principles; discrete probability. Further selected topics may also be covered, such as recursive definition and structural induction; state machines and invariants; recurrences; generating functions.",YES,YES,9,,https://openlearninglibrary.mit.edu/asset-v1:OCW+6.042J+2T2019+type@asset+block@6.042J_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:OCW+6.042J+2T2019+type@asset+block@6.042J_image.jpg
7.InTr_1,,,,Education & Teaching,Pedagogy and Curriculum,Educational Technology,Education & Teaching,Pedagogy and Curriculum,,,,,,,,Undergraduate,OCW,English,MITx+7.InT+2021_Fall,Inclusive Teaching Module,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+7.InT+2021_Fall/about,"Welcome to the Inclusive Teaching Module! We are so glad you are joining us. The Inclusive Teaching Module is both a standalone online resource for those looking to explore materials related to inclusive teaching as well as an integral part of a blended workshop available to use at your own institution. If you are looking to facilitate a blended workshop using this material, please navigate to the Facilitation Guide and Appendix section from the course outline to get started!",YES,YES,2,,https://openlearninglibrary.mit.edu/asset-v1:MITx+7.InT+2021_Fall+type@asset+block@7.InT_course_image-03.png,https://openlearninglibrary.mit.edu/asset-v1:MITx+7.InT+2021_Fall+type@asset+block@7.InT_course_image-03.png
8.01.1x,Physics,Science,,Science & Math,Physics,Machine Learning,,,Peter Dourmashkin,Deepto Charkrabarty,Michelle Tomasik,Analia Barrantes,George Stephans,Anna Frebel,,Undergraduate,MITx,English,MITx+8.01.1x+3T2018,Mechanics: Kinematics and Dynamics,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+8.01.1x+3T2018/about,Learn about kinematics and dynamics in this calculus-based physics course.,YES,,6,11,https://openlearninglibrary.mit.edu/asset-v1:MITx+8.01.1x+3T2018+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+8.01.1x+3T2018+type@asset+block@course_image.jpg
8.01.2x,Physics,Science,,Science & Math,Physics,Machine Learning,,,Peter Dourmashkin,Deepto Charkrabarty,Michelle Tomasik,Analia Barrantes,George Stephans,Anna Frebel,,Undergraduate,MITx,English,MITx+8.01.2x+3T2018,Mechanics: Momentum and Energy,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+8.01.2x+3T2018/about,Learn about momentum and energy in this calculus-based physics course.,YES,,9,11,https://openlearninglibrary.mit.edu/asset-v1:MITx+8.01.2x+3T2018+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+8.01.2x+3T2018+type@asset+block@course_image.jpg
